Tag,,,,,,,,,,,,,
Polarization,Business Closure,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization , Expulsion,,,,,,,,,,,,
Secondary,International,,,,,,,,,,,,
Polarization,House Raid, Seizure,,,,,,,,,,,
Dehumanization,,,,,,,,,,,,,
Polarization , Sentencing,,,,,,,,,,,,
Polarization , Search, Seizure,,,,,,,,,,,
Rasht,Polarization,,,,,,,,,,,,
International,Sanctions,,,,,,,,,,,,
Polarization, Jail Sentence,,,,,,,,,,,,
Polarization,,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Secondary,International,,,,,,,,,,,,
2.February.2012,NA,Secondary,International,,,,,,,,,,
NA,Secondary,International,,,,,,,,,,,
Polarization,Arrest,Home Search,,,,,,,,,,,
Iran,National,,,,,,,,,,,,
Iran,International,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Shiraz,Polarization,Raids,Arrests,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
2-12.January.2012,Mazandaran,Golestan,Polarization,Arrests,Searches,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
International,,,,,,,,,,,,,
Polarization Arrest,,,,,,,,,,,,,
International,Internet Censorship,,,,,,,,,,,,
Mashad,Polarization,Arrest,Sentence,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Sari,Polarization,Expulsion,,,,,,,,,,,
Preparation,,,,,,,,,,,,,
Repression,,,,,,,,,,,,,
NA,International,US,Israel,,,,,,,,,,
Polical,Parliamentary Elections,,,,,,,,,,,,
Polarization,Preparation,,,,,,,,,,,,
Political,Execution Report,,,,,,,,,,,,
Polarization,Arrest,Search,Seizure,,,,,,,,,,
Polarization,Questioning,,,,,,,,,,,,
International,Iranian Strike Possibility,,,,,,,,,,,,
Polarization,Prison Term,,,,,,,,,,,,
Polarization,Detention,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Polarization,Detention,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Report,,,,,,,,,,,,,
NA,Political,Regime Repression,,,,,,,,,,,
International,Sanctions,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Polarization,Search,Arrest,,,,,,,,,,,
19.March.2012,Mashad,Bail,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Bail,,,,,,,,,,,,,
International , Sanctions,,,,,,,,,,,,
" & Farham Ma'sumi)""",30.March.2012,Pir Banu Prison,Polarization, Prison detention,,,,,,,,,
 Eyman Rahmat-Penah, Nima Dehqan Munshadi, Farshid Yazdani, Farid `Amadi, Sina Sarikhani," Sam Jaberi and Houman Zara`i""",31.March.2012,Shiraz,Polarization, Prison detention,,,,
Polarization,Arrest,,,,,,,,,,,,
International , Sanctions,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Awareness,International,,,,,,,,,,,,
Polarization,Prison Sentence,,,,,,,,,,,,
Polarization,Business Closure,,,,,,,,,,,,
Polarization,House Raid,q,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
,,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
Polarization, Prison detention,,,,,,,,,,,,
Internet,Censorship,,,,,,,,,,,,
International ,Diplomacy,,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
,,,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Polarization,Prison Health Condition,,,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Summons,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Qaemshahr,Polarization, Arrest , Beating,,,,,,,,,,
Polarization,Detention,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Polarization,Business Closure,,,,,,,,,,,,
Polarization,Arrest,,,,,,,,,,,,
Polarization,Sentencing,,,,,,,,,,,,
Release on Bail,,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
International,,,,,,,,,,,,,
Polarization,Preparation,,,,,,,,,,,,
Polarization,Preparation,,,,,,,,,,,,
Polarization,Expulsion,,,,,,,,,,,,
Domestic,Political,,,,,,,,,,,,
International,Political,,,,,,,,,,,,
,,,,,,,,,,,,,
(Secondary) Polarization,Trial,Sufis,,,,,,,,,,,
Release on bail,,,,,,,,,,,,,
Polarization,Christian Contact,,,,,,,,,,,,
Polarization,Detention,,,,,,,,,,,,
Polarization,Questioning,,,,,,,,,,,,
Polarization,Trial,,,,,,,,,,,,
Polarization,Sentencing,Confirmation,,,,,,,,,,,
Polarization,Search,Arrest,Seizure,,,,,,,,,,
Polarization,Prison Transfer,,,,,,,,,,,,
